time,OKtime,date
2024_01_28__00_06_21,2419581,0.452163
2024_01_28__00_06_21,2419581,0.452163
2024_01_28__00_06_21,2419581,0.452335
2024_01_28__00_06_21,2419581,0.452163
2024_01_28__00_06_22,2419582,0.452163
2024_01_28__00_06_22,2419582,0.452163
2024_01_28__00_06_22,2419582,0.717443
2024_01_28__00_06_22,2419582,0.452163
2024_01_28__00_06_22,2419582,0.452163
2024_01_28__00_06_23,2419583,0.452163
2024_01_28__00_06_23,2419583,0.452163
2024_01_28__00_06_23,2419583,0.452163
2024_01_28__00_06_23,2419583,0.452163
2024_01_28__00_06_23,2419583,0.452163
2024_01_28__00_06_24,2419584,0.452163
2024_01_28__00_06_24,2419584,0.470387
2024_01_28__00_06_24,2419584,0.499786
2024_01_28__00_06_24,2419584,0.499786
2024_01_28__00_06_24,2419584,0.504944
2024_01_28__00_06_25,2419585,0.504944
2024_01_28__00_06_25,2419585,0.504944
2024_01_28__00_06_25,2419585,0.504944
2024_01_28__00_06_25,2419585,0.510101
2024_01_28__00_06_25,2419585,0.504944
2024_01_28__00_06_26,2419586,0.515259
2024_01_28__00_06_26,2419586,0.520417
2024_01_28__00_06_26,2419586,0.426546
2024_01_28__00_06_26,2419586,0.520589
2024_01_28__00_06_26,2419586,0.520589
2024_01_28__00_06_27,2419587,0.520417
2024_01_28__00_06_27,2419587,0.520417
2024_01_28__00_06_27,2419587,0.520417
2024_01_28__00_06_27,2419587,0.520417
2024_01_28__00_06_27,2419587,0.520417
2024_01_28__00_06_28,2419588,0.520417
2024_01_28__00_06_28,2419588,0.520245
2024_01_28__00_06_28,2419588,0.520589
2024_01_28__00_06_28,2419588,0.520417
2024_01_28__00_06_28,2419588,0.518698
2024_01_28__00_06_29,2419589,0.518698
2024_01_28__00_06_29,2419589,0.518698
2024_01_28__00_06_29,2419589,0.508554
2024_01_28__00_06_29,2419589,0.504944
2024_01_28__00_06_29,2419589,0.504944
2024_01_28__00_06_30,2419590,0.505116
2024_01_28__00_06_30,2419590,0.496176
2024_01_28__00_06_30,2419590,0.504944
2024_01_28__00_06_30,2419590,0.505116
2024_01_28__00_06_30,2419590,0.504944
2024_01_28__00_06_31,2419591,0.504944
2024_01_28__00_06_31,2419591,0.505116
2024_01_28__00_06_31,2419591,0.504944
2024_01_28__00_06_31,2419591,0.504944
2024_01_28__00_06_31,2419591,0.504944
2024_01_28__00_06_32,2419592,0.504944
2024_01_28__00_06_32,2419592,0.505116
2024_01_28__00_06_32,2419592,0.504944
2024_01_28__00_06_32,2419592,0.504944
2024_01_28__00_06_33,2419593,0.504944
2024_01_28__00_06_33,2419593,0.504944
2024_01_28__00_06_33,2419593,0.504944
2024_01_28__00_06_33,2419593,0.504944
2024_01_28__00_06_33,2419593,0.505116
2024_01_28__00_06_33,2419593,0.504944
2024_01_28__00_06_34,2419594,0.504944
2024_01_28__00_06_34,2419594,0.504944
2024_01_28__00_06_34,2419594,0.505116
2024_01_28__00_06_34,2419594,0.504944
2024_01_28__00_06_34,2419594,0.505116
2024_01_28__00_06_35,2419595,0.505116
2024_01_28__00_06_35,2419595,0.505116
2024_01_28__00_06_35,2419595,0.505116
2024_01_28__00_06_35,2419595,0.505116
2024_01_28__00_06_35,2419595,0.504944
2024_01_28__00_06_36,2419596,0.504944
2024_01_28__00_06_36,2419596,0.504944
2024_01_28__00_06_36,2419596,0.505116
2024_01_28__00_06_36,2419596,0.504944
2024_01_28__00_06_37,2419597,0.504944
2024_01_28__00_06_37,2419597,0.504944
2024_01_28__00_06_37,2419597,0.505116
2024_01_28__00_06_37,2419597,0.533999
2024_01_28__00_06_37,2419597,0.588671
2024_01_28__00_06_38,2419598,0.505116
2024_01_28__00_06_38,2419598,0.505116
2024_01_28__00_06_38,2419598,0.504944
2024_01_28__00_06_38,2419598,0.505116
2024_01_28__00_06_38,2419598,0.504944
2024_01_28__00_06_39,2419599,0.505116
2024_01_28__00_06_39,2419599,0.504944
2024_01_28__00_06_39,2419599,0.505116
2024_01_28__00_06_39,2419599,0.504944
2024_01_28__00_06_39,2419599,0.504944
2024_01_28__00_06_40,2419600,0.505116
2024_01_28__00_06_40,2419600,0.504944
2024_01_28__00_06_40,2419600,0.505116
2024_01_28__00_06_40,2419600,0.504944
2024_01_28__00_06_40,2419600,0.504944
2024_01_28__00_06_41,2419601,0.505116
2024_01_28__00_06_41,2419601,0.504944
2024_01_28__00_06_41,2419601,0.505116
2024_01_28__00_06_41,2419601,0.488095
2024_01_28__00_06_41,2419601,0.4501
2024_01_28__00_06_42,2419602,0.505116
2024_01_28__00_06_42,2419602,0.504944
2024_01_28__00_06_42,2419602,0.504944
2024_01_28__00_06_42,2419602,0.504944
2024_01_28__00_06_42,2419602,0.504944
2024_01_28__00_06_43,2419603,0.505116
2024_01_28__00_06_43,2419603,0.505116
2024_01_28__00_06_43,2419603,0.504944
2024_01_28__00_06_43,2419603,0.526434
2024_01_28__00_06_43,2419603,0.505116
2024_01_28__00_06_44,2419604,0.504944
2024_01_28__00_06_44,2419604,0.504944
2024_01_28__00_06_44,2419604,0.504944
2024_01_28__00_06_44,2419604,0.504944
