time,OKtime,date
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_47,2433527,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
2024_01_28__03_58_48,2433528,999.9
